ColumnNumber,ColumnNames
1,subjectID
2,activityID
3,TimeBodyAccelerometerMeanX
4,TimeBodyAccelerometerMeanY
5,TimeBodyAccelerometerMeanZ
6,TimeGravityAccelerometerMeanX
7,TimeGravityAccelerometerMeanY
8,TimeGravityAccelerometerMeanZ
9,TimeBodyAccelerometerJerkMeanX
10,TimeBodyAccelerometerJerkMeanY
11,TimeBodyAccelerometerJerkMeanZ
12,TimeBodyGyroscopeMeanX
13,TimeBodyGyroscopeMeanY
14,TimeBodyGyroscopeMeanZ
15,TimeBodyGyroscopeJerkMeanX
16,TimeBodyGyroscopeJerkMeanY
17,TimeBodyGyroscopeJerkMeanZ
18,TimeBodyAccelerometerMagnitudeMean
19,TimeGravityAccelerometerMagnitudeMean
20,TimeBodyAccelerometerJerkMagnitudeMean
21,TimeBodyGyroscopeMagnitudeMean
22,TimeBodyGyroscopeJerkMagnitudeMean
23,FrequencyBodyAccelerometerMeanX
24,FrequencyBodyAccelerometerMeanY
25,FrequencyBodyAccelerometerMeanZ
26,FrequencyBodyAccelerometerMeanFrequencyX
27,FrequencyBodyAccelerometerMeanFrequencyY
28,FrequencyBodyAccelerometerMeanFrequencyZ
29,FrequencyBodyAccelerometerJerkMeanX
30,FrequencyBodyAccelerometerJerkMeanY
31,FrequencyBodyAccelerometerJerkMeanZ
32,FrequencyBodyAccelerometerJerkMeanFrequencyX
33,FrequencyBodyAccelerometerJerkMeanFrequencyY
34,FrequencyBodyAccelerometerJerkMeanFrequencyZ
35,FrequencyBodyGyroscopeMeanX
36,FrequencyBodyGyroscopeMeanY
37,FrequencyBodyGyroscopeMeanZ
38,FrequencyBodyGyroscopeMeanFrequencyX
39,FrequencyBodyGyroscopeMeanFrequencyY
40,FrequencyBodyGyroscopeMeanFrequencyZ
41,FrequencyBodyAccelerometerMagnitudeMean
42,FrequencyBodyAccelerometerMagnitudeMeanFrequency
43,FrequencyBodyAccelerometerJerkMagnitudeMean
44,FrequencyBodyAccelerometerJerkMagnitudeMeanFrequency
45,FrequencyBodyGyroscopeMagnitudeMean
46,FrequencyBodyGyroscopeMagnitudeMeanFrequency
47,FrequencyBodyGyroscopeJerkMagnitudeMean
48,FrequencyBodyGyroscopeJerkMagnitudeMeanFrequency
49,Angle(TimeBodyAccelerometerMean,gravity)
50,Angle(TimeBodyAccelerometerJerkMean),gravityMean)
51,Angle(TimeBodyGyroscopeMean,gravityMean)
52,Angle(TimeBodyGyroscopeJerkMean,gravityMean)
53,angle(X,gravityMean)
54,angle(Y,gravityMean)
55,angle(Z,gravityMean)
56,TimeBodyAccelerometerStdX
57,TimeBodyAccelerometerStdY
58,TimeBodyAccelerometerStdZ
59,TimeGravityAccelerometerStdX
60,TimeGravityAccelerometerStdY
61,TimeGravityAccelerometerStdZ
62,TimeBodyAccelerometerJerkStdX
63,TimeBodyAccelerometerJerkStdY
64,TimeBodyAccelerometerJerkStdZ
65,TimeBodyGyroscopeStdX
66,TimeBodyGyroscopeStdY
67,TimeBodyGyroscopeStdZ
68,TimeBodyGyroscopeJerkStdX
69,TimeBodyGyroscopeJerkStdY
70,TimeBodyGyroscopeJerkStdZ
71,TimeBodyAccelerometerMagnitudeStd
72,TimeGravityAccelerometerMagnitudeStd
73,TimeBodyAccelerometerJerkMagnitudeStd
74,TimeBodyGyroscopeMagnitudeStd
75,TimeBodyGyroscopeJerkMagnitudeStd
76,FrequencyBodyAccelerometerStdX
77,FrequencyBodyAccelerometerStdY
78,FrequencyBodyAccelerometerStdZ
79,FrequencyBodyAccelerometerJerkStdX
80,FrequencyBodyAccelerometerJerkStdY
81,FrequencyBodyAccelerometerJerkStdZ
82,FrequencyBodyGyroscopeStdX
83,FrequencyBodyGyroscopeStdY
84,FrequencyBodyGyroscopeStdZ
85,FrequencyBodyAccelerometerMagnitudeStd
86,FrequencyBodyAccelerometerJerkMagnitudeStd
87,FrequencyBodyGyroscopeMagnitudeStd
88,FrequencyBodyGyroscopeJerkMagnitudeStd
